institute_id,category,institute_name,intake_total_2022_23,student_strength_total,student_strength_male,student_strength_female,faculty_count,phd_students_fulltime,phd_students_parttime,phd_graduated_2022_23,placement_median_salary_inr,capital_expenditure_2022_23,operational_expenditure_2022_23,sponsored_projects_2022_23,sponsored_amount_2022_23,nirf_score,nirf_rank,scorecard_year
IR-O-U-0456,Overall,Indian Institute of Technology Madras,2387,7512,5925,1587,686,2469.0,242.0,412.0,1200000,6162004087,16896680625,801.0,9694717158.0,87.31,1.0,2025
IR-O-U-0458,Overall,Kalasalingam Academy of Research and Education,3426,9937,4292,5645,709,582.0,236.0,128.0,575000,361975193,2073571107,28.0,25410374.0,55.68,48.0,2025
IR-O-U-0467,Overall,National Institute of Technology Tiruchirappalli,2068,6389,4855,1534,355,674.0,184.0,143.0,1200000,801270970,3599747973,36.0,95028755.0,60.05,30.0,2025
IR-O-U-0470,Overall,Periyar University,1414,2245,848,1397,206,324.0,198.0,109.0,144000,37130206,457827738,11.0,24639447.0,,,2024
IR-O-U-0473,Overall,S.R.M. Institute of Science and Technology,22757,60645,34399,26246,4466,1760.0,881.0,360.0,690000,3024239669,16918498520,127.0,203093412.0,62.87,22.0,2025
IR-O-U-0474,Overall,Sathyabama Institute of Science and Technology,5332,16642,8134,8529,1407,552.0,362.0,67.0,1100000,971242328,2021376688,176.0,59341089.0,49.79,93.0,2025
IR-O-U-0476,Overall,Shanmugha Arts Science Technology & Research Academy,3575,11847,5759,6088,847,686.0,127.0,138.0,550000,858270364,3161550617,84.0,290180703.0,55.32,51.0,2025
IR-O-U-0485,Overall,Tamil Nadu Agricultural University,2893,9239,3062,6177,934,531.0,0.0,219.0,620000,478534038,8475365297,520.0,774455514.0,50.03,88.0,2025
IR-O-U-0490,Overall,Vellore Institute of Technology,13660,54253,38062,16202,3352,4516.0,626.0,441.0,800000,1766939930,9439151636,201.0,202868433.0,62.88,21.0,2025
IR-P-C-35006,Pharmacy,JSS College of Pharmacy,230,834,339,495,70,114.0,52.0,42.0,820000,83658814,312092135,36.0,88718303.0,76.14,4.0,2025
IR-P-C-45540,Pharmacy,PSG College of Pharmacy,187,681,380,301,50,7.0,5.0,0.0,550000,2171445,69265530,4.0,1441000.0,46.96,65.0,2025
IR-P-C-45585,Pharmacy,Nandha College of Pharmacy,193,682,411,271,51,0.0,6.0,0.0,498000,8903635,62197040,6.0,3203500.0,44.2,77.0,2024
IR-P-C-45757,Pharmacy,Arulmigu Kalasalingam College of Pharmacy,127,455,210,307,55,11.0,0.0,0.0,300000,18524151,78649354,2.0,5600000.0,42.15,96.0,2024
